Product Id (Don't Modify),Product Name,Added on (D-dd/mm/YY HH:MM:SS),Barcode (applicable only if variable combinations not used),Product Id,Model,Short Description,Product Keywords (will be used while searching for products in website),Is Hidden? (Y/N),Cost Price,Web Price,Weight,Reorder Quantity,Extra Shipping Cost,Bonus Points,"Discount Type ('%' for %,'Value' for Discount Value,'Exact' for Exact Discount Price)",Discount (value in this field depends on the Discount Type),Apply Tax? (Y/N),Variable Stock Allowed? (Y/N) (Dont't Modify),Fixed Web Stock (applicable only if Variable Stock Allowed is 'N'),Preorder Allowed? (Y/N),Maximum number of times preorder will be allowed? (applicable only if Preorder is Y),In Stock Date (applicable only if preorder is Y)  (D-dd/mm/YY),Product Deposit %,Product deposit message (will be considered only if Product deposit is >0),Activate Buy link (Y/N),Activate Enquire link (Y/N),Heading to be shown for size chart (applicable only if size chart is managed),Show Variable in new row in product details page? (Y / N),Allow Stock Notification?,Hide Product when out of stock?,Allow ordering even if out of stock (Y/N)?,Allow free Delivery? (Y/N),Caption to be displayed for Qty,"Qty type (Normal,Dropdown)","Value to be displayed in dropdown box. Seperate using comma (,) (applicable only if qty type is Dropdown",Prefix to be used for Qty (applicable only if Qty type is Drop down box),Suffix to be used for Qty (applicable only if Qty type is Drop down box),Prefix for Normal price,Suffix for Normal price,Prefix for From price,Suffix for From price,Prefix for Special offer price,Suffix for Special offer price,Prefix for Discount,Suffix for Discount,Prefix for You Save Price,Suffix for You Save Price,Caption for No Price,Show Price Promise button in details page? (Y/N),Show Sale Icon (Y/N),Caption for sale icon (applicable only if Sale icon is Y),Show New Icon (Y/N),Caption for new icon (applicable only if New icon is Y),Variable Combination Image Allowed (Don't Modify),Unique Ids of Images from Image gallery. Seperate Id's using '=>' (applicable only if Variable Combination Image is 'N'. Already assigned Images which are not specified in this column will be unassigned automatically before saving the current id's,Variable Combination Price Allowed (Don't Modify),Allow Bulk Discount (Y/N),"Format (Qty1=>Price1,Qty2=>Price2) (applicable only if Variable combination price allowed is 'N')"
P-513990,Blendtec Recipe Book,D-26/04/2011 12:38:06,5060181190691,,,Blendtec Recipe Book,"BLENDTEC RECIPE BOOK
recipe booklet 
blendtec",N,0.00,29.99,0.00,0,0.00,30,Exact,19.99,Y,N,499986,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,,Y,N,,N,NEW BLENDTEC RECIPE BOOK - AN ESSENTIAL PURCHASE FOR ANY BLENDTEC OWNER...,N,278018=>278017,N,N,
P-537140,Blendtec Soft Lid,D-27/10/2014 09:46:58,,,,Blendtec Soft Lid,"Blendtec Soft Lid
Rubber Lid
Blendtec Rubber Lid
Blendtec Standard Lid
Blendtec Soft Lid
Blendtec standard rubber lid
Blendtec accessories
Standard Lids",N,0.00,7.49,0.00,0,0.00,9,%,0.00,Y,N,5000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,321571,N,N,
P-513883,Blendtec Sound Enclosure,D-18/04/2011 08:54:07,5060181190705,,,Blendtec Sound Enclosure,"blendtec blender
blendtec sound enclosure
blendtec hood
blendtec
sound enclosure 
blender sound enclosure",N,0.00,159.95,0.00,0,0.00,160,%,0.00,Y,N,4995,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,277847,N,N,
P-489220,Blendtec Spacesaver Commercial Blender,D-16/06/2009 15:29:28,5060181190700,,,Blendtec Spacesaver Commercial Blender,"ktech
spacesaver
blendtec Space saver
blendtec spacesaver
space saver
blendtec
blendtec smoother",N,0.00,699.99,0.00,0,0.00,700,Exact,499.99,Y,N,499950,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy Now...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,256963,N,N,
P-532138,Blendtec SpaceSaver Commercial Blender & Starter Pack,D-28/11/2013 20:22:34,,Blendtec,,Blendtec SpaceSaver Commercial Blender & Starter Pack,"Blendtec Spacesaver Smoothie Blender
Blender
smoothie maker
blendtec",Y,0.00,699.99,0.00,0,0.00,700,%,35.00,Y,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,Y,N,N,,Normal,,,,,,,,,,,,,,,Y,N,Black Friday Sale Item!,N,,N,256963,N,N,
P-528550,Blendtec Stealth Commercial Blender,D-16/07/2013 10:08:43,350005204001,,,Blendtec Stealth Commercial Blender,"BLENDTEC STEALTH
BLENDTEC COMMERCIAL BLENDER
COMMERCIAL SMOOTHIE MAKER
SMOOTHIE BLENDER
FRAPPE MAKER
BLENDTEC SMOOTHIE
BLENDTEC KTEC BLENDER
BLENDTEC Q SERIES
BLENDTEC STEALTH",N,0.00,1499.99,0.00,0,0.00,1500,Exact,1074.99,Y,N,49993,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,Y,N,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,ALL NEW FROM BLENDTEC - THE MOST POWERFUL BLENDER ON THE MARKET WITH ULTRA LOW NOISE TECHNOLOGY!,N,305708=>305709=>305710,N,N,
P-490267,Blendtec Total  Blender -  HP3A,D-23/04/2010 14:45:51,5060181190701,,,Blendtec Total  Blender -  HP3A,"blendtec total
blendtec usa
total blender
Domestic Blender
Home Blender 
Blendtec Total Home Use Blender",N,0.00,479.99,0.00,0,0.00,480,Exact,379.99,Y,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,WITH A 3 YEAR HOME USE WARRANTY! WITH EVERY GARRAWAYS BLENDTEC TOTAL!,N,292872=>277673=>260010=>281201,N,N,
P-522539,Blendtec Twister Jug,D-21/06/2012 14:08:04,,,,Blendtec Twister Jug,"blendtec twist
blendtec jar
blendtec jar
twister jar
blendtec twister jar
twoster jug
blendtec twister jug",N,0.00,129.95,0.00,0,0.00,130,%,0.00,Y,N,49990,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,Y,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,,Y,N,,N,"ALL NEW JAR TECHNOLOGY FROM BLENDTEC, DESIGNED FOR THOSE THICK DRINKS!",N,292685,N,Y,2=>124.95
P-537141,Blendtec Vented Gripper Lid for Jars,D-27/10/2014 09:53:39,,,,Blendtec Vented Gripper Lid for Jars,"Blendtec Vented Gripper Lid for Jars
gripper lid
blendtec gripper lid
vented gripper lid",N,0.00,9.99,0.00,0,0.00,12,%,0.00,Y,N,4998,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,321572,N,N,
P-537063,Blendtec Wildside Jug,D-15/10/2014 15:01:21,,,,Blendtec Wildside Jug,"Blendtec Wildside Jar
wildside jar
belndtec jars
blender jars 
blender jugs 
wildside jug
blendtec jugs",N,0.00,99.99,0.00,0,0.00,100,%,0.00,Y,N,4995,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,321455,N,N,
P-336913,Blendtec Xpress Commercial Blender,D-06/04/2009 08:05:50,5060181190702,Blendtec,,Blendtec Xpress Commercial Blender,"Blendtec
Blendtec Xpress
Blendtec SpaceSaver
Blendtec Blender
Smoothie Blender",N,0.00,499.99,0.00,0,0.00,500,Exact,349.99,Y,N,2147483374,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,Y,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,281202,N,N,
P-517352,Bonito Spoon Biscuits,D-05/09/2011 10:49:30,5060181190703,,,Bonito Spoon Biscuits,"Biscuits
Spoon biscuits
Bonito
Bonito spoon biscuits
Bonito biscuits
saucer biscuits",N,0.00,9.99,0.00,0,0.00,10,%,0.00,N,N,99934,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,Y,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,282284,N,N,
P-537009,Boo Stencil,D-13/10/2014 15:26:06,,,,Boo Stencil,"Boo Stencil
haloween stencils
stencils",N,0.00,3.49,0.00,0,0.00,3,%,0.00,Y,N,193,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,,N,321376,N,N,
P-63394,Bravilor Bolero XL423,D-06/04/2009 08:05:34,5060181190692,Bravilor,Bolero XL425,Bravilor Bolero XL423 Instant Hot Drinks Machine,"BRAVILOR BOLERO XL423
Hot drinks machine
Coffee machine
Instant 
Hot chocolate machine",N,0.00,0.00,0.00,0,0.00,0,Exact,0.00,N,N,2147483633,N,0,D-00/00/0000,0.00,,N,Y,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call now for the best deal - 0800 865 4444,Y,N,,N,,N,215079=>215080,N,N,
P-63759,Bravilor Bulk Brewer,D-06/04/2009 08:05:36,5060181190693,Bravilor,,Bravilor Bulk Brewer,"Bulk Brewer
Bravilor
Filter coffee
coffee brewer
catering coffee
Bravilor Bulk Brewer",N,0.00,0.00,0.00,0,0.00,0,%,0.00,N,N,2147483646,N,0,D-00/00/0000,0.00,,N,Y,,N,Y,Y,N,N,,Normal,,,,,,,,,,,,,,Call now for the best deal - 0800 865 4444,Y,N,,N,,N,33840,N,N,
P-184802,Bravilor Hot Plate,D-06/04/2009 08:05:47,5060181190694,Bravilor,,Bravilor Hot Plate,"Hot Plate
Bravilor hot plate
Bravilor",N,0.00,84.95,0.00,0,0.00,85,%,0.00,Y,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,84088,N,N,
P-63748,Bravilor Matic 2,D-06/04/2009 08:05:36,5060181190704,Bravilor,,Bravilor Matic 2,"Bravilor
Pour and serve
Coffee
Coffee machine
Bravilor Matic 2
matic
matic 2
filter coffee machine
filter coffee maker
filer machine
bravilor filter machine",N,0.00,395.00,0.00,0,0.00,300,Exact,349.95,Y,N,2147483643,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,33838,N,N,
P-63750,Bravilor Matic Twin,D-06/04/2009 08:05:36,5060181190696,Bravilor,,Bravilor Matic Twin,"Twin brewing
Coffee maker
Coffee machine
Bravilor Matic Twin
filter coffee machine
matic twin
bravilor matic twin 
Bravilor
Pour and serve
Twin",N,0.00,849.95,0.00,0,0.00,850,Exact,704.95,Y,N,2147483646,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,27757,N,N,
P-63746,Bravilor Mondo 2,D-06/04/2009 08:05:36,5060181190697,Bravilor,,Bravilor Mondo 2,"Filter Coffee machine
Pour and serve
Bravilor
Bravilor Mondo 2
Mondo 2
Filter coffee maker",N,0.00,329.99,0.00,0,0.00,330,Exact,294.94,Y,N,2147483583,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,27758,N,N,
P-63747,Bravilor Mondo Twin,D-06/04/2009 08:05:36,5060181190698,Bravilor,,Bravilor Mondo Twin,"Filter coffee machine
Bravilor Mondo Twin
Coffee Machine
Bravilor
Mondo Twin
Bravilor Twin 
Bravilor filter machine",N,0.00,594.95,0.00,0,0.00,595,Exact,489.99,Y,N,2147483639,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,Y,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,53145,N,N,
P-488361,Bravilor Novo Filter Coffee Machine,D-30/04/2009 22:35:11,5060181190699,Bravilor,Novo,Bravilor Novo Filter Coffee Machine,"filter coffee maker
bravilor novo
novo coffee machine
novo machine
novo coffee maker
novo 2
bravilor filter
pour over coffee machine
pour and serve coffee maker",N,0.00,251.94,0.00,0,0.00,150,Exact,229.00,Y,N,49876,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,Y,Best Seller,N,,N,255977,N,N,
P-68721,Bravilor RLX31 Filter Coffee Machine,D-06/04/2009 08:05:33,5060181190691,Bravilor,RLX31,Bravilor RLX31 Filter Coffee Machine,"Filter Coffee Machine
Filter coffee maker 
Coffee machine
Bravilor filter machine
Bravilor RLX 31
RLX31
Bravilor Series",N,0.00,0.00,0.00,0,0.00,0,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,N,Y,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call now for the best deal - 0800 865 4444,Y,N,,N,,N,51535,N,N,
P-68725,Bravilor RLX41 Filter Coffee Machine,D-06/04/2009 08:05:40,5060181190706,Bravilor,RLX41,Bravilor RLX41 Filter Coffee Machine,"Filter Coffee Machine
Filter coffee maker
Coffee machine
Bravilor filter machine
Bravilor RLX 41
RLX41",N,0.00,0.00,0.00,0,0.00,0,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,N,Y,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call now for the best deal - 0800 865 4444,Y,N,,N,,N,51537,N,N,
P-68733,Bravilor RLX55 Filter Coffee Machine,D-06/04/2009 08:05:39,5060181190705,Bravilor,RLX55,Bravilor RLX55 Filter Coffee Machine,"Filter Coffee Machine
Filter coffee maker
Coffee machine
Bravilor filter machine
Bravilor RLX 55
RLX55",N,0.00,0.00,0.00,0,0.00,0,%,0.00,N,N,2147483647,N,0,D-00/00/0000,0.00,,N,Y,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call now for the best deal - 0800 865 4444,Y,N,,N,,N,51549,N,N,
P-68731,Bravilor RLX575 Filter Coffee Machine,D-06/04/2009 08:05:39,5060181190700,Bravilor,RLX575,Bravilor RLX575 Filter Coffee Machine,"Filter Coffee Machine
Filter coffee maker
Coffee machine
Bravilor filter machine
Bravilor RLX 575
RLX575",N,0.00,0.00,0.00,0,0.00,0,%,0.00,N,N,2147483647,N,0,D-00/00/0000,0.00,,N,Y,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call now for the best deal - 0800 865 4444,Y,N,,N,,N,51538,N,N,
P-68732,Bravilor RLX585 Filter Coffee Machine,D-06/04/2009 08:05:39,5060181190701,Bravilor,RLX585,Bravilor RLX585 Filter Coffee Machine,"Filter Coffee Machine
Filter coffee maker
Coffee machine
Bravilor filter machine
Bravilor RLX 585
RLX585",N,0.00,0.00,0.00,0,0.00,0,%,0.00,N,N,2147483647,N,0,D-00/00/0000,0.00,,N,Y,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call now for the best deal - 0800 865 4444,Y,N,,N,,N,51551,N,N,
P-68730,Bravilor RLX75 Filter Coffee Machine,D-06/04/2009 08:05:40,5060181190702,Bravilor,RLX75,Bravilor RLX75 Filter Coffee Machine,"Filter Coffee Machine
Filter coffee maker
Coffee machine
Bravilor filter machine
Bravilor RLX 75
RLX75",N,0.00,0.00,0.00,0,0.00,0,%,0.00,N,N,2147483647,N,0,D-00/00/0000,0.00,,N,Y,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call now for the best deal - 0800 865 4444,Y,N,,N,,N,51546,N,N,
P-68729,Bravilor RLX76 Filter Coffee Machine,D-06/04/2009 08:05:40,5060181190703,Bravilor,RLX76,Bravilor RLX76 Filter Coffee Machine,"Filter Coffee Machine
Filter coffee maker
Coffee machine
Bravilor filter machine
Bravilor RLX 76
RLX76",N,0.00,0.00,0.00,0,0.00,0,%,0.00,N,N,2147483647,N,0,D-00/00/0000,0.00,,N,Y,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call now for the best deal - 0800 865 4444,Y,N,,N,,N,51545,N,N,
P-352749,Bravilor Solo,D-06/04/2009 08:05:45,5060181190691,Bravilor,Solo,Bravilor Solo & Free Chocolate Offer,"bravilor chocolate
solo chocolate machine
bravilor solo
bravilor Solo machine
bravilor
hot chocolate machine
solo machine",N,0.00,449.00,0.00,0,0.00,400,Value,40.00,Y,N,2147483641,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy Now...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,119776,N,N,
P-63403,Bravilor Water Boilers,D-06/04/2009 08:05:29,5060181190691,Bravilor,,Bravilor Hot Water Boilers,"Hot water boilers
Hot water boiler
Bravilor boiler
Bravilor hot water boiler
water boiler",N,0.00,310.00,0.00,0,0.00,310,%,0.00,Y,N,2147483636,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy Now...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,53074,N,N,
P-537372,Brown Sugar Swizzle Sticks,D-21/11/2014 11:53:11,,,,Brown Sugar Swizzle Sticks,"Brown Sugar Swizzle Sticks 
Sugar Swizzle Sticks 
swizzle sticks
brown sugar sticks 
sticks of sugar",N,0.00,19.99,0.00,0,0.00,20,%,0.00,N,N,5000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,322077,N,Y,"4=>19.75,8=>18.99,12=>18.75,24=>18.50"
P-535792,Bumper Blended Beverage Box,D-19/06/2014 15:54:22,,P073,,Bumper Blended Beverage Box,"Bumper box
summer beverage box
blended mix
bumper blended summer beverage box
Sweetbird smoothie
Zuma frappe",N,0.00,82.49,0.00,0,0.00,82,%,0.00,Y,N,999995,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318684,N,N,
P-452099,Byron Bay Cafe Cookie Starter Kit,D-06/04/2009 08:05:56,5060181190693,BYB Byron Bay,,Byron Bay Cafe Cookie Starter Kit,"byron bay cookies
byron bay deal
byron bay starter kit
cookies
byron cookies
byron cookie deal
byron bay biscuits
byron bay",N,0.00,79.95,0.00,0,0.00,80,Exact,59.99,Y,N,2147483433,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy Now...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,258577,N,N,
P-452101,Byron Bay Cafe Cookies,D-06/04/2009 08:06:06,5060181190695,,,Byron Bay Cafe Cookies,"byron bay
cafe cookies
cookies
bay cookies
byron cookies
byron bay biscuits
byron biscuits
byron bay cookies",Y,0.00,3.99,0.00,0,0.00,4,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,Y,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,N,N,best seller,N,,Y,,N,N,
P-537064,Byron Bay Clowning Around,D-15/10/2014 16:22:17,,,,Byron Bay Clowning Around,"Byron Bay Clowning Around
clowning around
cookies
byron bay cookies
cafe cookies
byron bay cafe cookies",N,0.00,3.99,0.00,0,0.00,4,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320871,N,N,
P-489430,Byron Bay Cookie Bags,D-09/08/2009 18:18:21,5060181190694,,,Byron Bay Cookie Bags,"byron bay bags
byron bay cookies
cookies bags
cookie bag
byron bags
byron bay cookie bags",N,0.00,19.95,0.00,0,0.00,20,Exact,14.99,Y,N,7,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,257522,N,Y,"3=>18.95,5=>17.95,10=>16.95"
P-537375,Byron Bay Cookie Jar,D-21/11/2014 14:17:11,,,,Byron Bay Cookie Jar,"Byron Bay Cookie Jar 
cookie jar
glass cookie jar 
glass jar
jar
byron bay jar",N,0.00,14.99,0.00,0,0.00,15,%,0.00,Y,N,4999,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,322087,N,N,
