"name","description","mainimage","priceGBP","colour","finish","size","supplierName"
"Red Rum Hat & Boot Deodoriser Spray","Red Rum Hat and Boot Deodorizer helps to neutralize and remove bad smells.",,2.77,,,,
"'Charisma' Summer Turnout from The Mark Todd Collection","Designed to ensure maximum air flow around the horse's body, whilst minimising shoulder pressure, the Charisma from Mark Todd is finished in cotton canvas which is shower proof. With twin strap front fastenings which adjust in 3 ways to provide a good fit on many horse shapes, this rug also protects the horse from the sun's harmful rays, flies and helps to prevent coat bleaching.<br/><br/>With gusseted tail flap, single belly strap and detachable leg straps. <br/><br/>A matching neck cover is available for this rug in either medium or large fitting. Simply choose your preferred finish option below.<br/><br/>Colour as shown (slate blue).","shopimages/products/normal/1053Charisma Summer Turnout.jpg",30.6,,"No Neck Cover,Medium Neck Cover,Large Neck Cover","5'6"",5'9"",6',6'3"",6'6"",6'9"",7'","Westgate"
"Cotton Sheet from The Mark Todd Collection","With darts at the point of shoulder and at the point of the hip to enhance the fit, the Cotton Sheet from Mark Todd is a highly practical and adaptable rug, and can be used underneath other rugs fr added warmth or as a light sheet on warmer evenings.<br/><br/>Low cross surcingles, single front buckle and fleece wither protection.","shopimages/products/normal/1203 Cotton Sheet.jpg",28.89,"Grey/Black,Slate Blue/Grey",,"5'6"",5'9"",6',6'3"",6'6"",6'9"",7'","Westgate"
"Combination Sheet from The Mark Todd Collection","A real winner from The Mark Todd Collection, the Combination Sheet is finished in a high quality polyester and has darts to the front and hind quarters to give a smart fitted look. Adjustable single front buckle, low cross surcingles and fillet string.<br/><br/>Colour : Slate Blue (as shown)","shopimages/products/normal/1214 Combination Sheet.jpg",32.13,,,"5'3"",5'6"",5'9"",6',6'3"",6'6"",6'9"",7'","Westgate"
"Combination Fly Rug from The Mark Todd Collection","The Mark Todd Fly Combo rug protects the horse's coat from bleaching in the sun as well as protection from flys and other biting insects. The neck cover is permanently attached to the body of the rug via a stretchy lycra joining panel. With reinforced nylon anti-rub shoulders, double front buckle straps, removable  adjustable leg straps and a tail flap to provide head to tail protection form sun and flies. Light Tan.","shopimages/products/normal/1414 Fly Rug Combo.jpg",51.87,,,"5'6"",5'9"",6',6'3"",6'6"",6'9"",7'","Westgate"
"Heavyweight Combo Turnout rug from The Mark Todd Collection","The Mark Todd heavyweight Combo is constructed from a 1200 denier rip-stop polyester outer with 350g filling. It is both waterproof and breathable with a teflon coating, and benefits from a nylon lining to cut down on rubbing, and to help shine the coat.<br/><br/>With shoulder gussets for freedom of movement, double adjustable front buckles, low cross surcingles and adjustable removable leg straps, large gusseted tail flap, fleece poll protection, double buckle neck fastening, and reflective stitching on the binding, this Mark Todd rug has everything you would expect from a turnout rug of this quality.<br/><br/>The neck on this Mark Todd rug is also made with extra length in the form of a gusset to provide extra protection whilst the horse is grazing.<br/><br/>Navy Plaid colour","shopimages/products/normal/mt1035.jpg",80.64,,,"5'6"",5'9"",6',6'3"",6'6"",6'9"",7'","Westgate"
"Luxury Sheepskin saddlepad from Mark Todd","This deluxe Australian sheepskin saddle pad from the Mark Todd Collection has a rolled edge which delivers effective back protection and eliminates pressure points. A breathable saddle pad that draws moisture and heat away from the horse's back for added comfort.<br/><br/>With heavy duty non-slip micro-fibre on top and hook and loop billet straps this saddle pad also features a cut away girth slot to ensure that the girth lies closely against the horse, and avoids deterioration of the sheepskin around the girth area.<br/><br/>One size only.<br/><br/>Colours - natural (as shown) and black","shopimages/products/normal/7088 sheepskin pad.jpg",67.19,"Natural,Black",,,"Westgate"
"Xcell Men's Breeches from Xact","New manufacturer Xact has come into the market making the perfect fitting basics (in other words they are 'Exact'...or even Xact!), that seem to be in short supply these days! Made from a superior weight of Cotton/Lycra the new Xcell Breech is the perfect fit with just enough room to avoid the 'Nureyev' effect but not so much that you look like a sack of spuds. Front pockets with poppers and small pleats to the waist, the Xcell also features a self-fabric 'Euro-Seat' (lke a full-seat but without the suede fabric)and a soft elastic waistband for the ultimate in comfort. 'Hook & Loop' enclosure to the lower leg. Generous fitting. To fit Regular leg = 30/31"" inside leg / Long leg=33/34"" inside leg.","shopimages/products/normal/Xcell-Breech-Choc.jpg",26.04,"Black,Navy,Chocolate",,"32Reg,32Long,34Reg,34Long,36Reg,36Long,38Reg,38Long,40Reg,40Long","Fuller Fillies Limited"
"Elico Waterproof Exercise Sheet","Waterproof outer shell with a soft,fine, fleece-like lining to keep your horse's bum warm. Girth guides and fillet string keep to the Sheet in place. The flourescent colours have rear reflective strips.","shopimages/products/normal/ElicoExSheetsmulti.jpg",22.55,"Navy",,"4'3'' (51""- Rug size 6'-6'3''))","Jenkinsons"
"Red Rum Coat Gloss Spray","Red Rum Coat Gloss Spray is a unique formulation to condition the horse's coat leaving it soft with a healthy shine. Regular use will repel dirt and dust and make grooming easier.",,4.04,,,,
"Toggi Ladies Equestrian Boot","Fantastic long synthetic riding boot that comes in a choice of calf-width fittings to suit most -including the original 'fuller filly' so I'm happy! 100% waterproof and finished to give the look of leather these boots are lined with cambrelle fabric which gives a lovely soft, comfy feel and topped with a broad leather top band; a generous foot width and elegant oval toe make these an absolute must have.<br />\r\n<br />\r\nXXW fits 39/40 cm calf*<br />\r\nShort Length measures 40 cm from heel to back of knee<br />\r\n<br />\r\n*When these are first worn they feel tight but within minutes they fit like a glove as the boot warms and moulds to your leg. Please try on over jodhpurs or tights as they vacuum into your leg otherwise - I had to get our Postman to pull me out of them when I first tried them on bare legs!","shopimages/products/normal/Toggi Equestrianboot.jpg",28.04,"Black","Standard Width/Standard,XXW Width/Short (special order)","3 (standard fitting only),4,4.5,5,6,7,8","Jenkinsons"
"Boredom Breaker by Likits","Enrich your Horse's stable environment with the ultimate in Equi-toys! Add Likits to the top section and little likits to the ball and be amazed by your pet's determination to find a tasty reward. Designed to be hung in the stable from a joist or door frame. Includes detachable rope.",,21.06,"Glitter Pink",,,"Westgate"
"Synthetic Stirrup Leathers","These nylon leathers are a durable alternative to the usual non leather ones that are available, and are an ideal acompaniment to a synthetic saddle. Black only, and available in small, medium & large.",,4.68,,,"Small,Medium,Large",
"Wall Mounted Saddle Rack","Lightweight tubular steel saddle rack.Pre-drilled for easy fixture, attachment screws included.",,4.41,"black,blue,red",,"one size","Horseworks"
"Cotswold men's riding jacket by Shires","The Cotswold is 100% machine washable poyester, and is styled with a palin collar, and a single back vent.",,38.3,"Black,Navy",,"34"",36"",38"",40"",42"",44"",46"",48""","Jenkinsons"
"Fuller Fillies Brandy Denim Jodhpurs","Made to the same design as the ever popular Jean Genie, the Brandy is styled a little differently with contrasting elongated faux-suede knee patches, which, on stonewashed light blue denim makes them look very western. Of course this isn't really denim but cotton / lycra with all the superfit features of Fuller Fillies legwear which makes them ultra comfortable. Available in sizes 30"", 32"", 34"", 36"", 38"" and 40"", fitting ladies sized 16-26, with the option of either a Regular or Long leg. Coordinates with the new Fuller Fillies Westcott waistcoat.",,38.26,"Stonewash Blue","Regular,Long","30,32,34,36,38,40","Fuller Fillies Limited"
"Fuller Fillies Classiq Riding Breeches","The new Classiq breech from Fuller Fillies has a broad, belt looped waist band and front side pockets. With the use of a side zip, the front of this breech is very neat. Also featuring a plain seat and faux suede knee patches this style is made from a light yet flattering woven cotton spandex blend which is extremely comfortable even in the warmest weather - and most tense conditions. Available in two colours Light Tan and Champaigne Beige.","shopimages/products/normal/Classiq-light-tan.jpg",41.66,"Champagne Beige,Light Tan",,"30"",32"",34"",36"",38"",40""","Fuller Fillies Limited"
"Fuller Fillies Country Boot","The Country Boot that everyone has been waiting for. Fuller Fillies have been promising boots for some time now, and they've finally done it. In two contrasting tones of rustic tan nubuck leather with a drawstring top the new Fuller Fillies Country Boot is a sure fire success. It may look like others on the market but this boot easily fits an 18"" calf with the extra wide version fitting up to a 20"". Considering its pedigree it isn't so surprising that this boot has a super inner which cradles the foot for superb comfort plus a chunky sole to help keep you firmly on your feet ...until you want to be in the saddle; the sole unit means that you can ride in this boot as well if you want to.","shopimages/products/normal/Country-Boot-for-mags.jpg",119.15,"Tan / Nubuck",,"4,5,6,7,8,9","Fuller Fillies Limited"
"Fuller Fillies Show Boot ","The Fuller Fillies Show Boot has taken an absolute age to perfect, but at last Fuller Fillies are ready to launch their boots. Perfect for showing but also at a price that doesnt mean that you have to keep them for best. The all new Show Boot from Fuller Filies is both elegant and comfortable, and is made from full hide leather with a broad elasticated ruched section to the rear to give a perfect and unclutterd look. Featuring a supportive sole with stirrup placement grooves ensuring your foot is always perfectly located. ","shopimages/products/normal/Show-boot-for-mags.jpg",127.66,"Black",,"4,5,6,7,8,9","Fuller Fillies Limited"
"Liveryman Sprite mains trimmer","The Liveryman Sprite Trimmer comes complete with an adjustable blade and 4 attachment combs giving adjustable cutting lengths; ideal when blending in around difficult areas. The powerful but small mains trimmer is ideal for those awkward areas. This unit replaces the popular Smart trimmer from Liveryman, and is now at a more competitive price than the Smart.","shopimages/products/normal/Sprite.jpg",33.15,,,,"Eddie Palin"
"Liveryman Sprite Trimmer Blade","Spare or replacement blade for the Liveryman Sprite mains trimmer.","shopimages/products/normal/AwaitingPhoto.jpg",11.91,,,,"Eddie Palin"
"A102 Replacement Clipper Blade","With 23 teeth on the upper blade and 31 teeth on the lower, this replcement clipper blade leaves a coat length of 3mm, and fits a wide variety of common clippers. Please check your existing blade to make sure that this is right replacement for you.",,31.74,,,,"Eddie Palin"
"A2 Replacement Clipper blade","A standard clipper blade leaving a coat length of 3mm. This blace is a suitable replacment for many popular clippers. Please check your exisitng clipper to see which blade type it has.",,33.87,,,,"Eddie Palin"
"Liveryman Arena Blue  Horse Clipper","Brand new for the 2009 season the Liveryman Arena Blue horse clipper is powered by a tough 130-watt motor for cool all-day operation, and weighs in at only 1kg. With it's ergonomically-designed grip it is a pleasure to use and suitable for everyone from the individual to larger stable yards. The Liveryman Arena Blue mains clipper comes fitted with A2 Blades as standard with various other blades also available. Manufacturer's 12 month guarantee","shopimages/products/normal/Arena-Blue-250.jpg",170.17,,,,"Eddie Palin"
"Liveryman Element Trimmer","The Liveryman Element horse trimmer is a heavy duty trimmer with ceramic blades. A Powerful cordless trimmer designed for perfecting those awkward areas.",,58.91,,,,"Eddie Palin"
"Liveryman Filly Horse Clipper","The Liveryman Filly clipper is a quiet, lightweight clipper, and is ideal for either the owner of a single horse or ofr use on small yards. With it's powerful 120 watt motor, the Filly weighs in at only 1kg, so is ideal for those who find other mains powered clippers a bit on the heavy side. 14pt""><strong></strong></span></div>\r\n\r\n<div><span style=""FONT-FAMILY: Comic Sans MS; COLOR: #006400; FONT-SIZE: 14pt""><strong>Supplied in its own presentation case, complete with A2 baldes, blade box, clipper oil and cleaning brush.</strong></span></div>","shopimages/products/normal/filly.jpg",249.79,,,,"Eddie Palin"
"Liveryman Flare trimmer","Light Weight but with a good, chunky feel, the Liveryman Flare Rechargeable trimmer is ideal for those awkward areas such as faces and heads.  Very quiet with low vibration. Can also be used directly from mains electricity via adaptor. High quality steel, detachable blades. Complete in presentation carton, with plastic comb attachments, clipper oil and brush.","shopimages/products/normal/Flare-replacement-image.jpg",17.35,,,,"Eddie Palin"
"Liveryman Harmony Clipper","Liveryman's top selling horse Clipper last season, and set to be this season's winner as well, is the Harmony; perfect for nervous horses as it is super-quiet and is cordless with it's battery pack clipping on to your belt, or slipping inside your pocket. The head on the Harmony clipper is narrower than your average horse clipper meaning that it can reach the parts that others cannot reach; in fact anywhere that a trimmer can get to, the Harmony can get to. Supplied with 2 sets of pre-tensioned blades (one each of the wide and the narrow blade sets). The battery only taking 2 hours to fully charge, up to 3 hours of clipping can be achieved from one full charge; it also has a lead that allows it to convert to a mains clipper.","shopimages/products/normal/harmony-Mains.jpg",156.55,,,,"Eddie Palin"
"Liveryman Red Rocket Mains Clipper","The latest addition to the clipper range from Liveryman is the Red Rocket mains powered Horse Clipper. Powered by a strong 90 watt motor, the Red Rocket Clipper is an extremely quiet mains powered horse clipper, with probably the lowest amount of vibration that we have ever come across with a mains horse clipper. Ideal for anybody from the single horse owner up to small and medium yard use, the Red Rocket is easy to handle due to it's ergonomic shape, providing a narrow waist for easier gripping by smaller hands. Supplied in a hard plastic storage case, with a small supply of blade oil, a cleaning brush and the standard A102 blade.","shopimages/products/normal/Red-Rocket-Clipper.jpg",254.26,,,,"Eddie Palin"
"Hi Visibility electric fence tape","For better visibility of the fence boundary in paddocks, this multi conductor tape is the ideal tape to use in paddocks where horses graze. In 200m rolls each roll can provide a decent amount of fencing, even if you opt to run a double layer. Available in either 12.5mm, 20mm or Super Visible 40mm widths for the ultimate in visibility for even the dumbest horse in the herd!! ",,16.13,,"12.5 mm,20 mm,40 mm",,"Eddie Palin"
"Pack of 10 x 35 inch multi-wire fence posts","Strong H section poly electric fence posts, 35"" long, each fence post has 8 fixings for use with Poly Wire or fencing tape. Simply push the plastic fence post into the ground by pressing your foot onto the moulded base section to provide a safe, secure fixing for paddock fencing. The posts can be easily removed from the ground as requried and moved to a different postion. Ideal for temporary fencing or for individual paddock separation, and strip grazing regimes. Post shown is Blue. Actual posts supplied are WHITE. Order more than one pack, and pay no additional carriage.","shopimages/products/normal/fence-posts.jpg",15.11,,,,"Eddie Palin"
"Pack of 10 x 53 inch multi-wire fence posts","A longer length poly fence post for use in paddock separation, and grazing regimes. With extra long metal spike feet for improved stability in the paddock, these 53"" white poly fence posts have multiple fixing points for use with poly wire or electric fence tapes, and provide extra height when compared to the standard 35 inch fence postssold by many, to reduce the number of times that horses jump into adjoining paddocks to see their friends or to get to the 'greener' grass. Supplied in packs of 10 posts. Order more than one pack and pay no extra for p&p.","shopimages/products/normal/AwaitingPhoto.jpg",23.4,,,,"Eddie Palin"
"Fenceman CP250 battery fencing energiser","The Fenceman CP250 is a robust battery powered electric fencing energiser, capable of delivering 0.25J over distances up to 4km (2.5 miles) of fence wire or tape. Powered by 2 6V internal batteries (supplied) when the optional external 12V battery (not supplied) is either out of charge or is not present, this unit comes complete with integral earth stake, doubling up as the self supporting stand, 12V battery leads for connecting the external battery, and a simple to use on/off switch. When you need a simple, quick solution for a 4km length of electric fencing for farm or equestrian use, the Fenceman CP250 is the ideal choice. British made with 2 year manufacturer's guarantee.","shopimages/products/normal/CP250.jpg",89.52,,,,"Eddie Palin"
"Economy Electric Fence tape","A durable but budget priced white electric fencing tape for use in paddock and strip grazing electric fencing systems powered by either mains or battery fencing energisers. In a choice of tape width 12.5mm, 20mm, and 40mm.","shopimages/products/normal/fence-tape.jpg",10,,"12.5mm,20mm,40mm",,"Eddie Palin"
"Leovet No-Rub","Leovet's No Rub is effective against dandruff, skurf and mane & tail rubbing brought about from itchy horses. An effective hair lotion for base of mane and tail with active ingredient from Willow bark that has a regenerating and peeling effect on the skin. Bio Sulphur stops the formation of dandruff, Perubalsam considerably reduces itchiness and thus reduces the horse's tendency to scratch. No Rub also has a nourishing effect on the mane and tail to ensure silky, shiny hair. With all biological processes being normalised the use of No Rub results in healthy hair growth.","shopimages/products/normal/No-Rub-500ml.jpg",9.32,,,,"Eddie Palin"
"Leovet Power Detangler","With natural colour pigments to unlock the brilliance and luminosity of the coat's own colour, Leovet's Power Detangler is another winning product. In a choice of either a red bottle or a black bottle depending on the colour horse that you are spraying (no we don't expect you to have a red horse). Leovet Power Detangler polishes the hair fibres, and has in-built UV protection, and is formulated for easy combing and extraordinary smoothness, with the Chamomile or Walnut accentuating the coat's own colour. The red bottle contains Chamomile for pale horse, whilst the black bottle contains Walnut Stock for dark horses.","shopimages/products/normal/Power-Detengler-duo.jpg",8.65,,"Light,Dark",,"Eddie Palin"
"Leovet Power Phaser Fly Protection","Combining natural ingredients and active substances with modern long-duraton technology, Leovet Power Phaser is the Ultimate in Fly Protection. It is the only one that we use, and whilst it is a bit more expensive than other brands, it is well worth it. Available in 500ml trigger spray bottles or a 2.5 litre plastic refill can for topping up your spray bottle.","shopimages/products/normal/Power-Phaser-500ml.jpg",11.26,,,"500 ml spray,2.5 litre refill","Eddie Palin"
"Leovet Summer Oil Gel","The non-drip formula of Leovet Summer Oil Gel makes for an easy brush-on application to provide effective hoof care for the Summer months. Containing highly effective lecithin and ceremides to improve and maintain healthy hoof horn, Leovet Oil Gel also helps to retain the moisture in the hoof. Maintaining correct moisture levels in the hoof helps to counterbalance the increased strain on the hooves under the drying weather conditions of the Summer months. With many hoof oils and gels the gloop seems to stay on the surface of the hoof horn, but with this it soaks in really easily, and you can just see the improvement in moisture levels. We had the farrier out just over a week after we started using it, and he passed comment as to how much better our horse's hooves were, and he demanded that we tell him what we had been using. Another winning product from Leovet, the Summer Oil Gel is the only hoof product we use on our horses during the Summer. 500ml resealable pot.","shopimages/products/normal/Summer-Oil-Gel.jpg",6.91,,,,"Eddie Palin"
"Brass Newmarket Coupling","This brass newmarket coupling is finished in a good quality brass and is sized to accomodate all sizes of horse, pony and bridle.",,7.45,,"Pony,Full",,"STS"
"Electric Fence Starter Kit","This simple to set up PADDOCK FENCING KIT comes complete with everything you need (except batteries!!) to set up an electric fence of up to 100 metres.",,116.38,,,,"Jenkinsons"
"Hi Visibility fluorescent gloves","The stretchy lycra fluorescent yellow riding gloves have leather reinforcements, and are the perfect riding accompaniment for those dull dark winter rides.",,6.77,,,"Yellow","Jenkinsons"
"Elico Leather gold plated show cane","24"" Leather covered show cane with gold plated metal caps at both ends. Available in either black or brown.","shopimages/products/normal/showcane.jpg",8.47,"Black,Brown","Small,Medium,Large",,"Jenkinsons"
"Autolock Door Bolt","Innovative door bolt.",,6.77,,,,"Jenkinsons"
"Elico Hat Bag","Smart, attractive and practical! Wipe-clean Nylon outer witha zipped, pocketed lid to carry all your scrunchies and clips, and carry handle.","shopimages/products/normal/hat-bag.jpg",8.09,,,,"Jenkinsons"
"NAF Himalayan Salt Lick","Most mass-produced salt licks consist of salt with artificially added minerals and trace elements. These minerals, such as potassium and magnesium, and the trace elements, are important for your horse’s health, however in commercial salt production they are regarded as impurities and are removed during the production process. The other thing with most 'commercial' licks is that they may contain a high percentage of fillers and binders and lord knows what else to make them the colour, shape, texture, smell that they are. Himalayan salt licks are mined from natural salt deposits that are over 550 million years old. They are rich in minerals and trace elements which give the salt licks their distinctive pink colour. Each lick comes ready with a handy rope to allow it to be hung on a gate or fence. They are extremely hard, making them very weather resistant and more difficult for the horse to bite chunks off, which is what often happens with the softer, pressed, salt licks. Experience with these salt licks has shown that horses do prefer them. Whilst NAF quote 750 grams as the weight of this item, the actual weight is usually more than this. Actual weight may vary slightly from lick to lick, due to the natural nature of this product. Please note that under Health & Safety recommmendations this product is non returnable.","shopimages/products/normal/himalayan-salt-lick.jpg",4.25,,,"1 kg,3 kg","Jenkinsons"
"Neoprene Poll Guard","Soft shock absorbent neoprene poll guard to help prevent injuries to the poll area. This poll guard simply attaches to a head collar by threading the head band through the pre-cut slots, as can be seen in the photo). One size.","shopimages/products/normal/Poll-Guard.jpg",6.38,,,,"Jenkinsons"
"Stubbs Thingummy Rack","Perfect for house and tackroom, this unusual rack from Stubbs has 14 hanging points for everything from coats to keys. Simply screw to the wall through thin bars top and bottom (as can be seen in the photo). Plastic coated steel construction.","shopimages/products/normal/Stubbs-Thingummy-Rack.jpg",7.45,"red",,,"Jenkinsons"
"Stubbs Rug Rail","The plastic coated steel rug rail is particularly suited for use outside the stable. 36"" wide with a useful hanging hook at either end, this is a realy useful additon to the stable or tack room.","shopimages/products/normal/RugRail.jpg",11.87,,,,"Jenkinsons"
"Humane twitch","The humane twitch is a useful aid when dealing with difficult horses, particularly when clipping around the horse's head.","shopimages/products/normal/HumaneTwitch.jpg",5.91,,,,"Jenkinsons"
"Stubbs Mountie mounting block","Made from a tough moulded polyethylene with slip resistant treads and rounded corners to help prevent injury, the Mountie from Stubbs has a wide base for stability, and rope handles to make it easier to carry. Height  - 37cm, Length  - 60cm, Width   - 51cm.  Weight  - 4kg. In a choice of 3 colours ","shopimages/products/normal/Stubbs-Mountie.jpg",28.04,"Red,Blue,Pink",,,"Jenkinsons"
"Shires Travel Hay Bag","The cleaner way to give your horse or pony hay whilst travelling. Shires Travel Hay bag helps to reduce hay wastage, as the horse feeds from the front opening on the durable bag. ","shopimages/products/normal/Elico-Haybag.jpg",7.45,,,,"Jenkinsons"
