Scoota Mart Category,New Product Category,Checked,Remove,Product Id (Don't Modify),Product Name,Added on (D-dd/mm/YY HH:MM:SS),Barcode (applicable only if variable combinations not used),Product Id,Model,Short Description,Product Keywords (will be used while searching for products in website),Is Hidden? (Y/N),Cost Price,Web Price,Weight,Reorder Quantity,Extra Shipping Cost,Bonus Points,"Discount Type ('%' for %,'Value' for Discount Value,'Exact' for Exact Discount Price)",Discount (value in this field depends on the Discount Type),Apply Tax? (Y/N),Variable Stock Allowed? (Y/N) (Dont't Modify),Fixed Web Stock (applicable only if Variable Stock Allowed is 'N'),Preorder Allowed? (Y/N),Maximum number of times preorder will be allowed? (applicable only if Preorder is Y),In Stock Date (applicable only if preorder is Y)  (D-dd/mm/YY),Product Deposit %,Product deposit message (will be considered only if Product deposit is >0),Activate Buy link (Y/N),Activate Enquire link (Y/N),Heading to be shown for size chart (applicable only if size chart is managed),Show Variable in new row in product details page? (Y / N),Allow Stock Notification?,Hide Product when out of stock?,Allow ordering even if out of stock (Y/N)?,Allow free Delivery? (Y/N),Caption to be displayed for Qty,"Qty type (Normal,Dropdown)","Value to be displayed in dropdown box. Seperate using comma (,) (applicable only if qty type is Dropdown",Prefix to be used for Qty (applicable only if Qty type is Drop down box),Suffix to be used for Qty (applicable only if Qty type is Drop down box),Prefix for Normal price,Suffix for Normal price,Prefix for From price,Suffix for From price,Prefix for Special offer price,Suffix for Special offer price,Prefix for Discount,Suffix for Discount,Prefix for You Save Price,Suffix for You Save Price,Caption for No Price,Show Price Promise button in details page? (Y/N),Show Sale Icon (Y/N),Caption for sale icon (applicable only if Sale icon is Y),Show New Icon (Y/N),Caption for new icon (applicable only if New icon is Y),Variable Combination Image Allowed (Don't Modify),Unique Ids of Images from Image gallery. Seperate Id's using '=>' (applicable only if Variable Combination Image is 'N'. Already assigned Images which are not specified in this column will be unassigned automatically before saving the current id's,Variable Combination Price Allowed (Don't Modify),Allow Bulk Discount (Y/N),"Format (Qty1=>Price1,Qty2=>Price2) (applicable only if Variable combination price allowed is 'N')"
Battery,,Yes,,P-532697,12v 55A/H Battery,D-09/12/2013 08:33:22,,BAT/UB12-55,,12v 55A/H Battery,,N,0,82,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314921,N,N,
Battery,,Yes,,P-532698,12v 75A/H Battery,D-09/12/2013 08:33:22,,BAT/UB12-75,,12v 75A/H Battery,,N,145,109,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314922,N,N,
Bed,,Yes,,P-533108,The Chester Electric Adjustable Bed,D-09/12/2013 08:34:41,,Drive,The Chester Electric Adjustable Bed,"The Chester Electric Adjustable Bed from Drive Medical - For a more healthier, restfull sleep!","chester electric adjustable bed,adjustable bed,drive adjustable bed,electric bed,chester adjustable bed,",N,380,901.23,100,0,0,0,Exact,586.46,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,311864,N,N,
Bed,,Yes,,P-533140,The Devon Adjustable Bed Drive Medical,D-09/12/2013 08:34:52,,Drive,Devon adjustable bed,The Devon Electric Adjustable bed from Drive Medical -The Devon Electric Adjustable Bed makes relaxation and a good night sleep an affordable reality.,"devon adjustable bed,devon bed,drive devon adjustable bed,drive beds,drive adjustable devon bed,adjustable bed",N,240,600.49,100,0,0,0,Exact,380.95,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,311884,N,N,
Bed,,Yes,,P-532765,Invacare Etude Basic Adjustable Bed,D-09/12/2013 08:33:29,,Invacare,Etude Basic ETUDE-SR,"Invacare Etude Basic Adjustable Bed high quality, height adjustable electric profiling bed that offers a range of options and accessories.","invacare etude basic adjustable bed, adjustable bed,electric profiling bed,invacare etude bed,etude bed,",N,607.5,1001.48,0,0,0,0,Exact,816.03,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314639,N,N,
Bed,,Yes,,P-533310,Invacare Etude Classic Extra Low Adjustable Bed,D-09/12/2013 08:35:23,,Invacare,Invacare Classic Extra Low,Invacare Etude Classic Extra Low Adjustable Bed,"invacare etude classic extra low adjustable bed,adjustable bed,etude classic extra low bed,etude classic low adjustable bed,invacare classic low bed,",N,926.25,1502.73,0,0,0,0,Exact,1244.09,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314640=>314641,N,N,
Bed,,Yes,,P-532717,Invacare Etude Medley Low Bed,D-09/12/2013 08:33:23,,Invacare,Invacare Etude Medley Low,Invacare Etude Medley Low Bed,"invacare etude medley low bed,invacare etude medley,etude medley bed,invacare beds,invacare medley low bed,",N,400,800.99,0,0,0,0,Exact,537.33,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314653,N,N,
Bed,,Yes,,P-532503,Invacare Octave Bariatric Adjustable Bed,D-09/12/2013 08:32:56,,Invacare,Invacare Octave,Invacare Octave Bariatric Adjustable Bed,"invacare octave adjustable bed,octave adjustable bed,bariatric adjustable bed,adjustable bed,invacare beds",N,3105,4710.69,0,0,0,0,Exact,4160.33,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314643,N,N,
Bed,,Yes,,P-532861,Casa Med 11 Adjustable Bed,D-09/12/2013 08:33:48,,Patterson,19865,"The Casa Med II Adjustable Bed  -This bed provides outstanding flexibility, electronically operated from hand controller.","days casa med electric bed,electric bed,homecare bed,days electric beds,",N,744,1603.97,149,0,0,0,Exact,1001.48,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,311795,N,N,
Bed,,Yes,,P-532862,Casa Med Classic FS Low Homecare Bed,D-09/12/2013 08:33:48,,Patterson,10156S,The Casa Med Classic FS Low Homecare bed brightens up any room with its classic design and attractive natural beech effect.,"casa med classic low bed,casa med classic homecare bed,casa med bed,electric bed,adjustable beds,",N,513.6,1421.53,97.8,0,0,0,Exact,700.74,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312175,N,N,
Bed,,Yes,,P-533504,Casa Med SE Low Bed,D-09/12/2013 08:35:38,,Patterson,Casa Med SE Low Bed 22036,Casa Med SE Low Bed - The Casa Med SE Low bed is an attractive low profiling bed with a four-section mattress support,"Casa Med SE low, Casa Low bed, casa bed,electric bed,profiling bed, adjustable bed,beds",N,419.03,1160.88,55,0,0,0,Exact,540.34,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312835,N,N,
Bed,,Yes,,P-532856,Casa Nuova II Homecare Bed,D-09/12/2013 08:33:45,,Patterson,21984/21985,The Casa Nuova II Homecare Bed  - With metal tube mattress support,"casa nuova ll bed,casa nuova ll homecare bed,days casa nuova bed,days beds,profiling beds,",N,536.76,1368.4,87.6,0,0,0,Exact,726.81,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,311796,N,N,
Bed,,Yes,,P-533503,Casa Nuova II Low Bed,D-09/12/2013 08:35:38,,Patterson,21986/21987,Casa Nuova II Low Bed- The Casa Nuova II Low Bed has been designed to specifically provide a bed thats easy to clean,"casa nuova II, nuova low bed, casa nuova II bed",N,569.7,1364.39,30,0,0,0,Exact,770.92,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312834,N,N,
Bed,,Yes,,P-532854,Siesta Electric Profiling Bed from Roma Medical,D-09/12/2013 08:33:44,,Roma,MAXX M5,The Siesta Electric Profiling Bed from Roma Medical -,"siesta electric profiling bed,roma siesta electric profiling bed,roma bed,siesta electric bed,",N,495,1077.67,112,0,0,0,Exact,800.99,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312366,N,N,
Bed,,Yes,,P-532903,Double bed Fleece (pure wool),D-09/12/2013 08:33:57,,simplantex,BFD,"Double bed Fleece (pure wool) -provide warmth and comfort in the cold whilst keeping you cool when hot. It is the perfect choice for covering beds, chairs and sofa","Double bed fleece, Prue wool fleece, bed wool fleece, bed fleece",N,34,55.13,5,0,0,0,Exact,49.12,Y,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312955,N,N,
Charger,,Yes,,P-533246,Mobility Scooter 8amp Charger,D-09/12/2013 08:35:15,,BAT/C/24V8A,,Mobility Scooter 8amp Charger,,N,0,112.27,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314926,N,N,
Charger,,Yes,,P-533868,Mobility Scooter In Car Chargaer,D-09/12/2013 08:36:14,,BAT/C/24VINC,,Mobility Scooter In Car Chargaer,,N,0,135.32,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314927,N,N,
Charger,,Yes,,P-533244,Mobility Scooter 2amp Charger,D-09/12/2013 08:35:15,,BAT/C/CTE24V2A,,Mobility Scooter 2amp Charger,,N,0,38.09,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314924,N,N,
Charger,,Yes,,P-533245,Mobility Scooter 5amp Charger,D-09/12/2013 08:35:15,,BAT/C/CTE24V5A,,Mobility Scooter 5amp Charger,,N,0,60.14,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314925,N,N,
Charger,,Yes,,P-533196,Mobility Scooter Charger,D-09/12/2013 08:35:05,,Exegon,Mobility Scooter Charger 2amp and 5amp,Mobility Scooter Charger - Available in 2 amp or 5 amp,"mobility scooter charger,2 amp charger,5 amp charger,scooter charger,mobility scooter 2 and 5 amp charger",N,33.08,79.19,8,0,0,59,Exact,50.12,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312563,N,N,
Charger,,Yes,,P-533907,In Car Charger for your Mobility Scooter,D-09/12/2013 08:36:21,,Ivanhoe,In car Charger,In Car Charger - Charger your mobility scooter from your car.,"in car charger for mobility scooter and powerchair, in car charger, charger for mobility scooter, mobility scooter charger,charger, scooter charger",N,42.5,100.24,0,0,0,0,Exact,70.17,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314571,N,N,
Charger,,Yes,,P-533243,Mobility Scooter USA  2amp Charger,D-09/12/2013 08:35:15,,USA2AMP,,Mobility Scooter USA  2amp Charger,,N,0,14.03,0,0,0,0,Exact,10.02,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,,N,N,
Inactive Product,,N/A,Yes,P-532543,Recon 1 Year Warranty,D-09/12/2013 08:33:01,,0,,Recon 1 Year Warranty,,Y,0,125.31,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,315192,N,N,
Inactive Product,,N/A,Yes,P-533164,Van Os Medical Boost,D-09/12/2013 08:34:58,,9280160,,Van Os Medical Boost,,Y,0,506.26,0,0,0,0,%,0,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314704=>314705,N,N,
Inactive Product,,N/A,Yes,P-533591,Wheelchair Backpack,D-09/12/2013 08:35:46,,5021GY Drive,,Wheelchair Backpack,"backpack, back pack, wheelchair bag, wheelchair bag,",Y,4,26.06,0,0,0,19,Exact,20.04,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,314301,N,N,
Inactive Product,,N/A,Yes,P-533525,Bottle Opener,D-09/12/2013 08:35:41,,Able 2,Bottle Opener PR61650,Bottle Opener -  The Grip-it Bottle Opener gives a secure grip for easy twist off.,"bottle and jar opener,openers,turners,grip openers,household and kitchen assistance,",Y,4.9,11.01,1,0,0,7,Exact,7,Y,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312972,N,N,
Inactive Product,,N/A,Yes,P-532981,Good grips jar opener,D-09/12/2013 08:34:13,,Able 2,Good grips jar opener PR63023,"Good grips jar opener - The good grips jar opener is comfortable,the built- up handle helps open stubborn lids easily.","Jar opener, good grip opener, opener, turner, kitchen assistance, household assistance.",Y,7.3,19.03,1,0,0,14,Exact,9.01,Y,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312974,N,N,
Inactive Product,,N/A,Yes,P-533284,Gripware Round Scoop Dish,D-09/12/2013 08:35:20,,Able 2,Gripware Round Scoop Dish PR65006,Gripware Round Scoop Dish - The low front and high back are ideal for persons with limited motor co-ordination or the use of one hand.,"round scoop dish,eating assistance,limited motor co-ordination,assistance eating",Y,8.6,16.03,1,0,0,13,Exact,11.02,Y,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312691,N,N,
Inactive Product,,N/A,Yes,P-533141,Harley Bed Relaxer,D-09/12/2013 08:34:52,,Able 2,Harley Bed Relaxer SP14027,Harley Bed Relaxer - Support and comfort whilst sitting  or sleeping in bed.,"bed relaxer,harley bed relaxer,bed care,relief and support,",Y,28.4,48.12,1,0,0,41,Exact,33.42,Y,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312790=>312791,N,N,
Inactive Product,,N/A,Yes,P-533387,Nodular Ring Cushion,D-09/12/2013 08:35:29,,Able 2,Nodular Ring Cushion SP44289,"Nodular Ring Cushion - Post Operative trauma, and haemorrhoids are just two of the conditions making sitting a painful experience.","nodular ring cushion,ring cushion,pressure care cushion,pressure care,",Y,14.9,27.06,1,0,0,21,Exact,21.04,Y,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312687,N,N,
Inactive Product,,N/A,Yes,P-533396,Slimline Wedge,D-09/12/2013 08:35:29,,Able 2,Slimline Wedge SP24010/SP24052,Slimline Wedge - Ideal in the car where headroom is at a premium. Added support to ease muscle tension in the lumbar region..,"slimline wedge,harley slimline wedge,car seat leveller,slimline car wedge",Y,14.4,28.07,1,0,0,25,Exact,21.05,Y,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312694,N,N,
Inactive Product,,N/A,Yes,P-533480,2-Way Sculptured Support,D-09/12/2013 08:35:37,,Able2,2-Way Sculptured Support SP44175,2-Way Sculptured Support - Clever little product which offers two different user ways to give maximum choice.,"2-way sculptured support,sculptured support cushion,support cushion,nodular foam support cushion,comfort care",Y,18.9,35.07,3,0,0,25,Exact,25.05,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312886=>312887=>312888,N,N,
Inactive Product,,N/A,Yes,P-532821,7 Day Extra Large Pill Box,D-09/12/2013 08:33:41,,Able2,7 Day Extra Large Pill Box PR61430,7 Day Extra Large Pill Box - A large dispenser to enable a selection of pills to be added to each daily compartment. The large letters and compartments are helpful for users with poor eyesight or dexterity. Each day has a flip top lid.,"PILL BOX, 7 DAY, LARGE PILL BOX, MEDICATION BOX",Y,4.05,9.02,1,0,0,6,Exact,5.52,Y,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312677,N,N,
Inactive Product,,N/A,Yes,P-532820,7 Day Mini Pill Box,D-09/12/2013 08:33:41,,Able2,7 Day Mini Pill Box PR61432,"7 Day Mini Pill Box - The large 7 day pill box has 7 compartments, one per day for daily medication with a flip top lid. The lids are marked with letters and Braille. Colours may vary.","7 day mini pill box,pill box,7 day pill box,mini pill box",Y,4.85,11.02,1,0,0,7,Exact,6.01,Y,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312676,N,N,
Inactive Product,,N/A,Yes,P-533337,Adult Short Leg Cast & Bandage protector,D-09/12/2013 08:35:25,,Able2,Adult short leg PR45081,Adult Short Leg Cast & Bandage protector - Comfortable waterproof protectors simply slip over the cast or dressing to protect when taking a bath or shower.,"cast protector,adult leg cast protector,waterproof cast protector,cast protector",Y,9.9,20.04,1,0,0,15,Exact,14.54,Y,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312712,N,N,
Inactive Product,,N/A,Yes,P-532629,All in One Briefs,D-09/12/2013 08:33:12,,Able2,All in One Briefs PR52151/1 PR52152/1,All in One Briefs - For Heavy Incontinence.,"all in one briefs,incontinence,incontinence pads,bladder problems,",Y,11.2,20.05,0.1,0,0,17,Exact,15.02,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312612,N,N,
Inactive Product,,N/A,Yes,P-532660,All in One Immobile Briefs,D-09/12/2013 08:33:15,,Able2,All in One Immobile Briefs PR52153/1,All in One Immobile  Briefs - These All-In-One briefs have been specially developed for the person who spends extended time in bed.,"immobile briefs,all in one briefs,incontinence,bladder problems,incontinence briefs",Y,13.65,26.07,0.1,0,0,19,Exact,21.74,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312613,N,N,
Inactive Product,,N/A,Yes,P-533478,Aluminium Tri Wheel Walker,D-09/12/2013 08:35:37,,Able2,Aluminium Tri Wheel Walker PR30274/30,Aluminium Tri Wheel Walker - High quality 3 wheeled walker made from aluminium. Folds for easy storage and transportation.,"aluminium tri wheel walker,3 wheel walker,tri walker,walker,mobility walker",Y,43.4,100.24,5,0,0,63,Exact,55.13,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312880=>312881=>312882=>312879=>312883,N,N,
Inactive Product,,N/A,Yes,P-533374,Bari-Care Designer Cushion,D-09/12/2013 08:35:28,,Able2,Harley Bari-Care Designer Cushion SP94410,Bari-Care Designer Cushion - 3 part construction relieves pressure and prevents bottoming out.,"harley bari care designer cushion,harley bari care pressure relief cushion,pressure care,harley bari care cushion,",Y,74.9,135.32,1,0,0,110,Exact,110.28,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312655=>312640,N,N,
Inactive Product,,N/A,Yes,P-533379,Bari-Care Designer Spine Support,D-09/12/2013 08:35:29,,Able2,Bari-Care Designer Spine Support SP94413,"Bari-Care Designer Spine Support - This spine support is perfect on an upright type seat, relieving pressure as well as providing superb comfort as it adjusts to the natural curve of the spine.","pressure relief spine support,bari-care designer pressure relief support,back ache,spine support,back support,harley bari-care designer spine support",Y,54.9,99.23,1.5,0,0,80,Exact,80.2,Y,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312663=>312640,N,N,
Inactive Product,,N/A,Yes,P-533359,Bath in Bed Wipes,D-09/12/2013 08:35:26,,Able2,Bath in Bed in Wipes PR52134,"Bath in Bed in Wipes - These Bath in bed wipes are a pack of eight disposable pre-moistened cleansing wipes that clean,moisturise and condition the skin eliminating the need for soap and water.","bath in bed wipes,bed bath,bath in bed,washing,continence",Y,4.3,11.01,0.1,0,0,4,Exact,6.01,Y,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312628,N,N,
Inactive Product,,N/A,Yes,P-533475,Bath Pillow PVC,D-09/12/2013 08:35:37,,Able2,Bath Pillow PVC PR45982,"Bath Pillow PVC - Recommended for those at risk of developing pressure sores this PVC inflatable cushion covered in terry cloth, provides cushioning between the bath and skin","bath pillow,pvc bath pillow,bath accessories,bath support,",Y,6.75,10.02,1,0,0,0,Exact,8.01,Y,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312891,N,N,
Inactive Product,,N/A,Yes,P-533527,Bath tub grab bar,D-09/12/2013 08:35:41,,Able2,Bath tub grab bar PR45422,Bath tub grab bar - This bar tub grab bar assists individuals who may have difficulty getting in or out the bath.,"grab rail, bath rail, bathing assistance, bathing aids, grab bar",Y,25.7,50.13,2,0,0,38,Exact,37.08,N,N,0,N,0,D-00/00/0000,0,,Y,N,,N,N,N,Y,N,,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,312973,N,N,
